t_rel_s,event,seq,info
0.755492,retransmit,107,
0.759287,ack,107,
0.759857,send,123,
0.760315,send,124,
0.760723,send,125,
0.761107,send,126,
0.761911,send,127,
0.763008,send,128,
0.763524,send,129,
0.763541,send,130,
0.764243,send,131,
0.764854,send,132,
0.765359,send,133,
0.765774,send,134,
0.766582,send,135,
0.767099,send,136,
0.767452,send,137,
0.767762,send,138,
0.767884,ack,124,
0.767949,ack,125,
0.768089,ack,126,
0.768247,ack,123,
0.768724,send,139,
0.76916,send,140,
0.769561,send,141,
0.770076,send,142,
0.770106,ack,127,
0.770504,send,143,
0.770536,ack,129,
0.770552,ack,131,
0.77057,ack,133,
0.77172,ack,132,
0.771745,ack,134,
0.77243,ack,137,
0.772504,ack,136,
0.772567,ack,138,
0.772625,ack,135,
0.773573,ack,139,
0.774036,ack,143,
0.774058,ack,142,
0.774362,ack,140,
0.774713,ack,141,
0.86412,timeout,128,deneme=0
0.864819,retransmit,128,
0.864933,timeout,130,deneme=0
0.864967,retransmit,130,
0.867899,ack,128,
0.868414,send,144,
0.868761,send,145,
0.872407,ack,145,
0.964782,timeout,130,deneme=1
0.965577,retransmit,130,
0.968868,timeout,144,deneme=0
0.969375,retransmit,144,
0.96969,ack,130,
0.970093,send,146,
0.970126,send,147,
0.970503,send,148,
0.971724,send,149,
0.97375,send,150,
0.974282,send,151,
0.975048,send,152,
0.975376,send,153,
0.975811,send,154,
0.975982,send,155,
0.976404,send,156,
0.976871,send,157,
0.977158,send,158,
0.977705,send,159,
0.97811,ack,144,
0.97912,send,160,
0.979338,send,161,
0.97941,ack,149,
0.979432,ack,146,
0.97987,send,162,
0.979926,ack,150,
0.979968,ack,151,
0.980428,ack,152,
0.98122,ack,155,
0.981318,ack,153,
0.98186,ack,157,
0.982016,ack,158,
0.982041,ack,156,
0.982888,ack,159,
0.983103,ack,160,
0.983775,ack,161,
1.07119,timeout,147,deneme=0
1.071961,retransmit,147,
1.071974,timeout,148,deneme=0
1.072416,retransmit,148,
1.075338,ack,147,
1.075923,send,163,
1.076006,ack,148,
1.076019,timeout,154,deneme=0
1.076568,retransmit,154,
1.077542,send,164,
1.078513,send,165,
1.079715,send,166,
1.081189,send,167,
1.081991,send,168,
1.082407,send,169,
1.082457,ack,163,
1.082465,timeout,162,deneme=0
1.083146,retransmit,162,
1.083512,ack,164,
1.083587,ack,154,
1.084027,send,170,
1.085487,send,171,
1.08642,send,172,
1.087543,send,173,
1.087658,send,174,
1.088077,send,175,
1.088549,send,176,
1.088986,send,177,
1.089112,ack,165,
1.089169,ack,167,
1.089293,ack,166,
1.090936,ack,162,
1.091164,send,178,
1.091382,send,179,
1.091762,send,180,
1.091882,send,181,
1.092021,send,182,
1.092142,send,183,
1.092188,ack,168,
1.092534,send,184,
1.092552,ack,169,
1.092702,send,185,
1.092735,ack,170,
1.092788,send,186,
1.092801,ack,173,
1.092836,ack,171,
1.093426,send,187,
1.09346,ack,172,
1.093644,send,188,
1.094082,send,189,
1.094137,ack,174,
1.0944,send,190,
1.094417,ack,177,
1.094445,ack,176,
1.09447,ack,178,
1.094749,ack,179,
1.094855,ack,181,
1.094888,ack,183,
1.094914,ack,186,
1.094939,ack,182,
1.095475,ack,185,
1.09611,ack,184,
1.096311,ack,188,
1.096398,ack,190,
1.096541,ack,189,
1.188961,timeout,175,deneme=0
1.189656,retransmit,175,
1.193161,timeout,180,deneme=0
1.193938,retransmit,180,
1.19403,ack,175,
1.194043,timeout,187,deneme=0
1.194431,retransmit,187,
1.194807,send,191,
1.195932,send,192,
1.197084,send,193,
1.198605,send,194,
1.200144,send,195,
1.2002,ack,187,
1.201133,ack,191,
1.201933,ack,180,
1.203316,send,196,
1.204036,send,197,
1.204543,send,198,
1.205167,send,199,
1.205501,send,200,
1.206396,send,201,
1.207289,send,202,
1.207787,send,203,
1.208264,send,204,
1.209054,send,205,
1.210427,send,206,
1.210574,send,207,
1.21062,ack,192,
1.210735,send,208,
1.210764,ack,193,
1.211,send,209,
1.211032,ack,194,
1.211109,send,210,
1.211138,ack,195,
1.211334,send,211,
1.211349,ack,196,
1.211597,send,212,
1.211613,ack,198,
1.211624,ack,200,
