t_rel_s,event,seq,info
1.331541,data_received,246,
1.331925,data_received,245,
1.3327,data_received,244,
1.333214,data_received,247,
1.333617,data_received,248,
1.334226,data_received,249,
1.334691,data_received,250,
1.335202,data_received,251,
1.335315,data_received,252,
1.33562,data_received,253,
1.335784,data_received,254,
1.336559,data_received,255,
1.337173,data_received,257,
1.337765,data_received,258,
1.337917,data_received,256,
1.338115,data_received,259,
1.33823,data_received,260,
1.338413,data_received,262,
1.434066,dup_data,247,
1.439238,data_received,263,
1.440511,data_received,264,
1.441568,data_received,265,
1.442133,data_received,266,
1.443499,data_received,267,
1.44489,data_received,268,
1.445297,data_received,269,
1.446196,data_received,270,
1.446871,data_received,271,
1.44742,data_received,274,
1.447861,data_received,272,
1.45017,data_received,276,
1.450914,data_received,261,
1.451228,data_received,275,
1.453876,data_received,278,
1.454441,data_received,277,
1.455279,data_received,281,
1.455599,data_received,280,
1.455954,data_received,279,
1.456581,data_received,282,
1.456898,data_received,283,
1.457082,data_received,284,
1.457519,data_received,286,
1.457725,data_received,285,
1.45838,data_received,287,
1.458676,data_received,288,
1.548517,data_received,273,
1.552732,data_received,290,
1.555033,data_received,289,
1.555755,data_received,291,
1.556945,data_received,292,
1.560053,data_received,293,
1.560791,data_received,294,
1.561556,data_received,295,
1.56205,data_received,296,
1.562463,data_received,298,
1.56341,data_received,299,
1.564688,data_received,297,
1.564969,data_received,300,
1.565256,data_received,303,
1.565464,data_received,302,
1.565755,data_received,301,
1.566554,data_received,304,
1.566955,data_received,305,
1.567504,data_received,307,
1.567774,data_received,306,
1.568309,data_received,309,
1.56844,data_received,308,
1.568609,data_received,310,
1.568804,data_received,312,
1.568817,data_received,313,
1.56905,data_received,314,
1.569388,data_received,315,
1.569911,data_received,316,
1.570165,data_received,317,
1.570357,data_received,319,
1.570612,data_received,318,
1.571207,data_received,320,
1.572076,data_received,322,
1.572346,data_received,324,
1.572493,data_received,325,
1.572633,data_received,323,
1.572739,data_received,326,
1.666735,data_received,311,
1.671138,data_received,327,
